"","City","State","MeanRankingbyCity","GEOID","UATYPE","LAT","LON","TotalAssets","NumBanks","AvgRating","Banks","cdfi_amt","NumCDFIs","CDFIs"
"1","ABBEVILLE","GA",1.909090909,NA,"",31.977048,-83.372515,81246,1,2,"WILCOX COUNTY STATE BANK",NA,NA,NA
"2","ABBEVILLE","LA",2.041666667,37,"C",29.967156,-92.095966,481545,3,2,"ABBEVILLE B & LA, BANK OF ABBEVILLE & TRUST COMPANY, GULF COAST BANK",NA,NA,NA
"3","ABBEVILLE","SC",1.818181818,64,"C",34.179273,-82.379776,127346,2,2.5,"ABBEVILLE S & LA, ABBEVILLE SAVINGS AND LOAN, SSB",599995,1,"HopeSouth FCU"
"4","ABBOTSFORD","WI",1.909090909,91,"C",44.948612,-90.315875,535393,2,2,"ABBOTSFORD STATE BANK, ABBYBANK",NA,NA,NA
"5","ABERDEEN","MD",2,199,"U",39.50893,-76.303492,389993,2,2,"HARFORD NATIONAL BANK, HARFORD BANK",NA,NA,NA
"6","ABERDEEN","MS",2,118,"C",33.824742,-88.554591,54237,2,2,"FIRST FS & LA, FIRST FS&LA",NA,NA,NA
"7","ABERDEEN","SD",1.5,145,"C",45.463186,-98.471033,1881167,2,1.5,"FIRST S & LA OF SOUTH DAKOTA, INC., DACOTAH BK",855000,2,"Dacotah Banks, Inc., Homes Are Possible Inc."
"8","ABERDEEN","WA",1.631578947,172,"C",46.976432,-123.795781,744607,2,1.5,"THE BANK OF GRAYS HARBOR, BANK OF THE PACIFIC",NA,NA,NA
"9","ABERNATHY","TX",1.888888889,226,"C",33.830523,-101.846278,39560,1,2,"THE FIRST STATE BANK",NA,NA,NA
"10","ABILENE","KS",2,253,"C",38.921855,-97.220768,200799,3,2.33333333333333,"CITIZENS BANK AND TRUST, CITIZENS BANK AND TRUST COMPANY, FIRST NATIONAL BANK",NA,NA,NA
"11","ABILENE","TX",1.869565217,280,"U",32.428784,-99.747194,6300913,2,1.5,"FNB OF ABILENE, FIRST FINANCIAL BANK, NATIONAL ASSOCIATION",NA,NA,NA
"12","ABINGDON","VA",2.083333333,NA,"",36.740217,-82.026738,539024,1,2,"HIGHLANDS UNION BK",213687386,2,"People Incorporated Financial Services, People Incorporated Housing Group"
"13","ABINGTON","MA",1.928571429,NA,"",42.11749,-70.959888,938555,1,2,"ABINGTON SAVINGS BANK",NA,NA,NA
"14","ABINGTON","PA",2,NA,"",40.123805,-75.114767,36417,1,2,"CHELTEN HILLS SAVINGS BANK",NA,NA,NA
"15","ABSAROKEE","MT",2,NA,"",45.515571,-109.455156,117657,3,2,"UNITED BANK OF ABSAROKEE, N.A., UNITED BANK, N.A., UNITED BANKS, N.A.",NA,NA,NA
"16","ABSECON","NJ",2,NA,"",39.42845,-74.49571,153865,1,2,"FIRST NATIONAL BANK OF ABSECON",NA,NA,NA
"17","ACKLEY","IA",1.875,NA,"",42.55553,-93.05298,119306,1,2,"ACKLEY STATE BANK",NA,NA,NA
"18","ACWORTH","GA",2,NA,"",34.034515,-84.707349,69178,1,2,"NORTHWEST BANK & TRUST",NA,NA,NA
"19","ADA","MN",2,NA,"",47.325283,-96.597259,36000,1,2,"FIRST STATE BANK OF ADA",NA,NA,NA
"20","ADA","OH",1.833333333,388,"C",40.76723,-83.82466,530367,3,2,"THE LIBERTY NATIONAL BANK OF ADA, LIBERTY NATIONAL  BANK, LIBERTY NATIONAL BANK",NA,NA,NA
"21","ADA","OK",2,415,"C",34.774803,-96.669103,1241706,4,2,"HOME FS&LA OF ADA, THE FIRST NATIONAL BANK & TRUST CO, VISION BANK, N.A., VISION BANK, NATIONAL ASSOCIATION",50624330,2,"Chickasaw Nation Community Development Endeavor LLC, Chickasaw Nation Community Development Financial Institution"
"22","ADAIR","IA",1.625,NA,"",41.439109,-94.633805,50081,1,2,"EXCHANGE STATE BANK",NA,NA,NA
"23","ADAIR","OK",2,NA,"",36.43736,-95.26975,9843,1,2,"ADAIR STATE BANK",NA,NA,NA
"24","ADAIRSVILLE","GA",1.8,NA,"",34.3687,-84.93411,160372,2,2,"BANK OF ADAIRSVILLE, NORTHSIDE BANK",NA,NA,NA
"25","ADAIRVILLE","KY",1,NA,"",36.66754,-86.85194,12000,1,1,"ADAIRVILLE BANKING COMPANY",NA,NA,NA
"26","ADAMS","MA",1.583333333,NA,"",42.62776,-73.11862,653107,2,1.5,"ADAMS CO-OPERATIVE BANK, ADAMS COMMUNITY BANK",NA,NA,NA
"27","ADAMS","MN",2,NA,"",43.565168,-92.74389,208867,2,2,"FARMERS STATE BANK OF ADAMS, MINNESOTA, UNITED FARMERS STATE BANK",NA,NA,NA
"28","ADAMS","ND",1.75,NA,"",48.383547,-97.997964,11490,1,1,"SECURITY STATE BANK OF ADAMS",NA,NA,NA
"29","ADAMS","NE",1.714285714,NA,"",40.45603,-96.513526,49659,1,2,"ADAMS STATE BANK",NA,NA,NA
"30","ADAMS","WI",1,NA,"",43.892066,-89.827509,45000,1,1,"M&I BANK OF ADAMS-FRIENDSHIP",NA,NA,NA
"31","ADAMSVILLE","TN",1.833333333,NA,"",35.271057,-88.447528,118702,1,1,"THE BANK OF ADAMSVILLE",NA,NA,NA
"32","ADDISON","IL",2,NA,"",41.93106,-88.01305,409651,1,2,"OXFORD BANK & TRUST",NA,NA,NA
"33","ADDISON","TX",2,NA,"",32.96179,-96.82917,135592,2,2,"ADDISON NATIONAL BANK, LIBERTY CAPITAL BANK",NA,NA,NA
"34","ADEL","GA",1.714285714,469,"C",31.145731,-83.429099,80936,1,2,"ADEL BANKING COMPANY",NA,NA,NA
"35","ADEL","IA",1.555555556,496,"C",41.612188,-94.021031,243806,3,1.66666666666667,"RACCOON VALLEY STATE BANK, BRENTON BANK AND TRUST COMPANY, PEOPLES TRUST & SAVINGS BANK",NA,NA,NA
"36","ADELL","WI",2,NA,"",43.61916,-87.95204,27179,1,2,"ADELL STATE BANK",NA,NA,NA
"37","ADRIAN","MI",1.666666667,577,"C",41.909568,-84.031176,409339,2,2.5,"ADRIAN STATE BANK, FIRST FS & LA OF LENAWEE COUNTY",NA,NA,NA
"38","ADRIAN","MN",2,NA,"",43.620754,-95.953225,41167,1,2,"ADRIAN STATE BANK",NA,NA,NA
"39","ADRIAN","MO",1.875,NA,"",38.397029,-94.380375,161803,2,2,"ADRIAN BANK, ADRIAN BK",NA,NA,NA
"40","ADVANCE","MO",1.75,NA,"",37.1045,-89.91065,528570,2,2,"THE BANK OF ADVANCE, BANK OF ADVANCE",NA,NA,NA
"41","AFTON","WY",1.666666667,NA,"",42.72493,-110.93187,157855,1,2,"BANK OF STAR VALLEY",NA,NA,NA
"42","AGANA","GU",1.666666667,NA,"",13.438296,144.77295,53417,1,1,"CITIZENS SECURITY BANK (GUAM), INC.",NA,NA,NA
"43","AGOURA HILLS","CA",2,NA,"",34.123286,-118.758541,757349,3,2.33333333333333,"CHARTER PACIFIC BANK, FOOTHILL THRIFT AND LOAN, PACIFIC CREST BANK",NA,NA,NA
"44","AIBION","IL",1.666666667,NA,"",40.102875,-89.152611,212222,2,2,"CITIZENS NATIONAL OF ALBION, CITIZENS NATIONAL BANK OF ALBION",NA,NA,NA
"45","AIKEN","SC",1.681818182,NA,"",33.554433,-81.69588,1729858,2,1.5,"PALMETTO FEDERAL SAVINGS BANK OF S C, SECURITY FEDERAL BANK",3847843,2,"Security Federal Bank, Security Federal Corporation"
"46","AILEY","GA",1.6,NA,"",32.17966,-82.516557,273730,2,2,"MONTGOMERY COUNTY BANK, MONTGOMERY BANK & TRUST",NA,NA,NA
"47","AINSWORTH","NE",2,NA,"",42.542734,-99.852364,205795,3,2,"THE FIRST NATIONAL BANK, THE COMMERCIAL NATIONAL BANK OF AINSWORTH, WEST PLAINS BK",NA,NA,NA
"48","AITKIN","MN",2,NA,"",46.53301,-93.71025,118899,2,2,"THE FIRST NATIONAL BANK OF AITKIN, SECURITY STATE BANK OF AITKIN",NA,NA,NA
"49","AKRON","CO",2,NA,"",40.073328,-103.202379,50648,2,2,"FIRST NATIONAL BANK OF AKRON, THE CITIZENS NATIONAL BANK OF AKRON",NA,NA,NA
"50","AKRON","IA",1.666666667,NA,"",42.822482,-96.462952,42944,1,2,"THE FIRST NATIONAL BANK OF AKRON",NA,NA,NA
"51","AKRON","NY",2,739,"C",43.020471,-78.493346,272701,1,2,"BANK OF AKRON",NA,NA,NA
"52","AKRON","OH",1.611111111,766,"U",41.066225,-81.491897,25360960,2,2,"NORTH AKRON SAVINGS BANK, FIRSTMERIT BANK, N.A.",97259455,4,"Asian Services In Action, Inc., Buckeye State Credit Union, INC., Development Fund of the Western Reserve, Inc., Enterprise Community Fund"
"53","ALACHUA","FL",2,793,"C",29.791157,-82.507967,298907,2,2,"FIRST NATIONAL BANK OF ALACHUA, THE FIRST NATIONAL BANK OF ALACHUA",NA,NA,NA
"54","ALACHUA COUNTY","FL",2,NA,"",29.813456,-82.472049,1000,1,2,"GAINESVILLE STATE BANK",NA,NA,NA
"55","ALAMEDA","CA",2,NA,"",37.770563,-122.264779,466892,2,2,"BANK OF ALAMEDA, ALAMEDA FIRST NATIONAL BANK",NA,NA,NA
"56","ALAMO","GA",1.833333333,NA,"",32.143021,-82.82677,88435,1,2,"WHEELER COUNTY STATE BANK",NA,NA,NA
"57","ALAMO","TN",2,NA,"",35.78479,-89.11729,79362,1,2,"THE BANK OF ALAMO",NA,NA,NA
"58","ALAMO","TX",1.666666667,NA,"",26.18369,-98.12306,293045,1,2,"ALAMO BANK OF TEXAS",NA,NA,NA
"59","ALAMOGORDO","NM",1.653846154,820,"C",32.902624,-105.949622,713761,3,1.66666666666667,"BANK'34, FIRST NATIONAL BANK  IN ALAMOGORDO, FIRST NATIONAL BANK",NA,NA,NA
"60","ALAMOSA","CO",1.555555556,847,"C",37.459931,-105.872135,434882,2,1.5,"SAN LUIS VALLEY FEDERAL BANK, FIRST SOUTHWEST BANK",1150166,2,"First Southwest Bank, Valley Educators Credit Union"
"61","ALAPAHA","GA",2,NA,"",31.383968,-83.221348,139811,1,2,"BANK OF ALAPAHA",NA,NA,NA
"62","ALBANY","GA",1.708333333,901,"U",31.591097,-84.168827,2136539,3,1.66666666666667,"FIRST STATE BANK & TRUST COMPANY, TRUST COMPANY BANK OF SOUTH GEORGIA, N.A., HERITAGE BANK OF THE SOUTH",1454405,1,"Albany Community Together, Inc."
"63","ALBANY","IL",1.714285714,NA,"",41.78947,-90.21929,175456,1,2,"FIRST TRUST & SAVINGS BANK OF ALBANY, ILLINOIS",NA,NA,NA
"64","ALBANY","KY",1.923076923,NA,"",36.745738,-85.181967,320504,2,2,"CITIZENS BANK OF ALBANY, FIRST & FARMERS BANK, INC.",NA,NA,NA
"65","ALBANY","NY",1.722222222,970,"U",42.742965,-73.799324,16066609,2,1,"ALBANK, FSB, KEY BANK OF NEW YORK",7482200,2,"Community Loan Fund of the Capital Region, Inc., NYBDC Local Development Corporation"
"66","ALBANY","OR",2.142857143,955,"U",44.630088,-123.090049,139704,2,2,"LINN-BENTON BANK, WILLAMETTE COMMUNITY BANK",565000,1,"Central Willamette Credit Union"
"67","ALBANY","TX",1.857142857,NA,"",32.768222,-99.210207,989862,3,1.66666666666667,"FNB OF ALBANY/BRECKENRIDGE, FIRST NATIONAL BANK ALBANY/BRECKENRIDGE, FIRST NATIONAL BANK OF ALBANY/BRECKENRIDGE",NA,NA,NA
