"","ID","Regulator","ExamDate","BankName","City","State","AssetSize","ExamMethod","Rating","UnknownVariable","MeanRankingbyQuarterwithinCity","MeanRankingbyCity","GEOID","UATYPE","LAT","LON","ExamDate_d"
"1",18023,1,"11/6/91","SECURITY PACIFIC BANK OF ALASKA, NA","ANCHORAGE","AK",198986,9,2,NA,1.583333333,1.538461538,2305,"U",61.167916,-149.847166,1991-11-06
"2",12072,1,"5/12/94","FIRST NATIONAL BANK OF ANCHORAGE","ANCHORAGE","AK",1389343,9,2,NA,1.875,1.538461538,2305,"U",61.167916,-149.847166,1994-05-12
"3",14651,1,"9/30/94","NATIONAL BANK OF ALASKA","ANCHORAGE","AK",2320521,9,1,NA,1,1.538461538,2305,"U",61.167916,-149.847166,1994-09-30
"4",12072,1,"1/18/11","FIRST NATIONAL BANK ALASKA","ANCHORAGE","AK",2902596,1,1,NA,1,1.538461538,2305,"U",61.167916,-149.847166,2011-01-18
"5",19525,3,"12/1/90","MT. MCKINLEY MUTUAL SAVINGS BANK","FAIRBANKS","AK",96000,9,2,NA,1.75,1.823529412,28549,"U",64.801958,-147.705736,1990-12-01
"6",19525,3,"10/1/15","MT. MCKINLEY BANK","FAIRBANKS","AK",352444,7,2,NA,1.5,1.823529412,28549,"U",64.801958,-147.705736,2015-10-01
"7",4202,4,"1/10/07","ALASKA PACIFIC BANK","JUNEAU","AK",184283,2,2,NA,2,2.125,43561,"C",58.352315,-134.58275,2007-01-10
"8",14885,3,"3/1/15","FIRST BANK","KETCHIKAN","AK",503964,7,1,NA,1.5,1.363636364,44668,"C",55.34716,-131.656302,2015-03-01
"9",23202,1,"9/15/14","THE MALVERN NATIONAL BANK","MALVERN","AK",462502,7,2,NA,2,2,NA,"",0,0,2014-09-15
"10",33998,3,"7/1/96","COMMERCE BANK OF ALABAMA","ALBERTVILLE","AL",33965,2,2,NA,2,2,1036,"C",34.268058,-86.22354,1996-07-01
"11",58375,3,"5/1/18","VANTAGE BANK OF ALABAMA","ALBERTVILLE","AL",119754,2,2,NA,2,2,1036,"C",34.268058,-86.22354,2018-05-01
"12",56,3,"8/1/92","SOUTHTRUST BANK OF CENTRAL ALABAMA","ALEXANDER CITY","AL",111000,9,1,NA,1,1.8,1252,"C",32.939703,-85.958004,1992-08-01
"13",861434,2,"8/13/07","ALIANT BK","ALEXANDER CITY","AL",902557,1,2,NA,2,1.8,1252,"C",32.939703,-85.958004,2007-08-13
"14",15535,1,"7/1/93","FIRST NATIONAL BANK OF PICKENS","ALICEVILLE","AL",73591,9,2,NA,2,2,NA,"",33.12957,-88.15142,1993-07-01
"15",15535,1,"2/16/10","FIRST NATIONAL BANK OF CENTRAL ALABAMA","ALICEVILLE","AL",243791,2,2,NA,2,2,NA,"",33.12957,-88.15142,2010-02-16
"16",54,3,"3/26/90","FIRST STATE BANK OF ALTOONA","ALTOONA","AL",25000,9,2,NA,2,1.857142857,NA,"",34.07097,-86.209599,1990-03-26
"17",54,3,"11/5/08","THE EXCHANGE BANK OF ALABAMA","ALTOONA","AL",232995,2,2,NA,2,1.857142857,NA,"",34.07097,-86.209599,2008-11-05
"18",16595,3,"11/1/92","COVINGTON COUNTY BANK","ANDALUSIA","AL",101000,9,2,NA,2,2,2359,"C",31.311564,-86.479556,1992-11-01
"19",655839,2,"6/13/05","COVINGTON CTY BK","ANDALUSIA","AL",237925,2,2,NA,2,2,2359,"C",31.311564,-86.479556,2005-06-13
"20",655839,2,"7/6/09","CCB CMNTY BK","ANDALUSIA","AL",348946,7,2,NA,2,2,2359,"C",31.311564,-86.479556,2009-07-06
"21",16595,3,"4/1/16","CCB COMMUNITY BANK","ANDALUSIA","AL",444078,7,2,NA,2,2,2359,"C",31.311564,-86.479556,2016-04-01
"22",5663,4,"8/16/90","UNITED SAVINGS BANK FSB","ANNISTON","AL",56890,8,2,NA,1.8,1.777777778,2629,"U",33.664398,-85.828795,1990-08-16
"23",3041,1,"7/30/93","SOUTHTRUST BANK OF CALHOUN COUNTY, N.A.","ANNISTON","AL",346110,9,1,NA,1.666666667,1.777777778,2629,"U",33.664398,-85.828795,1993-07-30
"24",58558,3,"4/1/19","SOUTHERN STATES BANK","ANNISTON","AL",842330,7,2,NA,2,1.777777778,2629,"U",33.664398,-85.828795,2019-04-01
